NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-10-25;2021-10-31;No;59.3503;1.16016;51.1570;27.2578;2102;1686.6129;81144;48920;2.0212;182;33;9;1023;1079;1118;1084;66885;42062;14900;14898
CATALUNYA;GLOBAL;2021-10-25;2021-10-31;--;;;0.0000;0.0000;108;0.0000;9366;19;0.6107;13;16;0;66;42;57;0;9317;17;357;275
CATALUNYA;GLOBAL;2021-10-25;2021-10-31;Si;;;26.5886;18.1922;13;4972.0818;3002;551;0.6203;12;0;0;8;5;10;5;2056;362;30;44
CATALUNYA;GLOBAL;2021-10-24;2021-10-30;--;;;0.0000;0.0000;104;0.0000;9108;19;0.5729;17;16;0;61;43;52;0;9059;17;362;280
CATALUNYA;GLOBAL;2021-10-24;2021-10-30;Si;;;27.9880;18.1922;13;4839.1385;2953;505;0.6394;8;0;0;8;5;10;5;2029;317;31;44
CATALUNYA;GLOBAL;2021-10-24;2021-10-30;No;58.2267;1.14956;50.6512;26.7261;2061;1672.4393;80402;48569;1.9920;192;37;9;1024;1037;1103;1048;66251;41730;15006;15019
CATALUNYA;GLOBAL;2021-10-23;2021-10-29;No;57.0295;1.1323;50.3660;26.4019;2036;1659.5496;80517;47460;1.9618;186;38;9;1024;1012;1085;1018;66383;40815;15156;14981
CATALUNYA;GLOBAL;2021-10-23;2021-10-29;--;;;0.0000;0.0000;107;0.0000;9056;15;0.6094;21;15;0;65;42;55;0;9011;14;378;289
CATALUNYA;GLOBAL;2021-10-23;2021-10-29;Si;;;29.3874;20.9910;15;4816.7480;2863;579;0.7663;8;0;0;9;6;12;6;1961;388;32;43
CATALUNYA;GLOBAL;2021-10-22;2021-10-28;--;;;0.0000;0.0000;107;0.0000;9196;10;0.5133;25;14;0;56;51;47;0;9148;9;394;307
CATALUNYA;GLOBAL;2021-10-22;2021-10-28;Si;;;29.3874;20.9910;15;4942.6944;2990;542;0.6811;9;0;1;10;5;12;5;2105;391;30;42
CATALUNYA;GLOBAL;2021-10-22;2021-10-28;No;54.51;1.08788;50.1066;25.8443;1993;1676.6408;81933;47362;1.8863;182;37;9;1014;979;1069;974;67575;40733;16006;15540
CATALUNYA;GLOBAL;2021-10-21;2021-10-27;--;;;0.0000;0.0000;93;0.0000;9228;9;0.4898;27;13;0;51;42;45;0;9180;8;401;338
CATALUNYA;GLOBAL;2021-10-21;2021-10-27;Si;;;20.9910;13.9940;10;4543.8643;2714;533;0.5111;7;0;1;5;5;7;5;1953;395;25;40
CATALUNYA;GLOBAL;2021-10-21;2021-10-27;No;52.2688;1.05599;49.4971;24.7291;1907;1671.6613;81476;47435;1.7839;178;39;9;977;930;1007;919;67200;40766;16665;16045
CATALUNYA;GLOBAL;2021-10-20;2021-10-26;No;51.1178;1.04147;49.0822;24.7810;1911;1632.2788;78076;47798;1.8216;205;41;9;976;935;999;927;64604;41129;17372;17125
CATALUNYA;GLOBAL;2021-10-20;2021-10-26;--;;;0.0000;0.0000;100;0.0000;9212;9;0.5125;33;13;0;53;47;47;0;9164;7;378;367
CATALUNYA;GLOBAL;2021-10-20;2021-10-26;Si;;;27.9880;16.7928;12;4180.0193;2513;474;0.5107;8;0;2;7;5;6;5;1794;360;19;37
CATALUNYA;GLOBAL;2021-10-19;2021-10-25;--;;;0.0000;0.0000;96;0.0000;9167;6;0.5150;38;15;0;53;43;47;0;9122;5;399;369
CATALUNYA;GLOBAL;2021-10-19;2021-10-25;Si;;;23.7898;11.1952;8;4473.8941;2727;470;0.3070;8;0;2;5;3;4;3;1919;361;33;38
CATALUNYA;GLOBAL;2021-10-19;2021-10-25;No;49.733;1.05304;47.2278;24.7680;1910;1623.4609;77189;48005;1.8415;218;40;10;969;941;1023;918;64024;41379;17865;17924
CATALUNYA;GLOBAL;2021-10-18;2021-10-24;No;48.9587;1.06833;45.8273;23.8992;1843;1636.0653;77460;48706;1.7675;221;42;9;907;936;952;926;64337;41912;18140;19556
CATALUNYA;GLOBAL;2021-10-18;2021-10-24;--;;;0.0000;0.0000;88;0.0000;9181;10;0.5686;36;3;0;57;31;52;0;9136;9;400;361
CATALUNYA;GLOBAL;2021-10-18;2021-10-24;Si;;;22.3904;8.3964;6;4836.3397;2964;492;0.2011;10;0;3;4;2;3;2;2111;375;26;37
